sample-id	absolute-filepath	bio_or_control	category_broad	category_specific	bird_id	bird_sex	bird_age	capture_date	num_mites_fm	num_mites_m	mite_sp_fm	mite_sp_m
PF18	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix042-PF18_S65/Alix042-PF18_S65_L001_R1_001.fastq.gz	biological	feather	feather	Desmond	Male	ASY	05/12/21	79	na	Amerodectes	na
PM19	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix043-PM19_S66/Alix043-PM19_S66_L001_R1_001.fastq.gz	biological	mites	mites	DB	Male	U	05/12/21	6	6	Amerodectes	Amerodectes
PF19	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix044-PF19_S67/Alix044-PF19_S67_L001_R1_001.fastq.gz	biological	feather	feather	DB	Male	U	05/12/21	6	na	Amerodectes	na
PM20	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix045-PM20_S68/Alix045-PM20_S68_L001_R1_001.fastq.gz	biological	mites	mites	CB	Female	SY	05/12/21	37	37	Amerodectes	Amerodectes
PF20	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix046-PF20_S69/Alix046-PF20_S69_L001_R1_001.fastq.gz	biological	feather	feather	CB	Female	SY	05/12/21	37	na	Amerodectes	na
H2O	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix047-H2O_S70/Alix047-H2O_S70_L001_R1_001.fastq.gz	control	control	water_control	water_control	na	na	na	na	na	na	na
ETOH	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix048-ETOH_S71/Alix048-ETOH_S71_L001_R1_001.fastq.gz	control	control	etoh_control	etoh_control	na	na	na	na	na	na	na
PM21	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix049-PM21_S72/Alix049-PM21_S72_L001_R1_001.fastq.gz	biological	mites	mites	Maren	Female	ASY	05/13/21	44	44	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF21	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix050-PF21_S73/Alix050-PF21_S73_L001_R1_001.fastq.gz	biological	feather	feather	Maren	Female	ASY	05/13/21	44	na	Amerodectes and Proctophyllodes	na
PM22	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix051-PM22_S74/Alix051-PM22_S74_L001_R1_001.fastq.gz	biological	mites	mites	Rosanne	Female	SY	05/13/21	1	1	Proctophyllodes	Proctophyllodes
PF22	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix052-PF22_S75/Alix052-PF22_S75_L001_R1_001.fastq.gz	biological	feather	feather	Rosanne	Female	SY	05/13/21	1	na	Proctophyllodes	na
PM23	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix053-PM23_S76/Alix053-PM23_S76_L001_R1_001.fastq.gz	biological	mites	mites	Martina	Female	SY	05/13/21	6	6	Proctophyllodes	Proctophyllodes
PF23	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix054-PF23_S77/Alix054-PF23_S77_L001_R1_001.fastq.gz	biological	feather	feather	Martina	Female	SY	05/13/21	6	na	Proctophyllodes	na
PM24	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix055-PM24_S78/Alix055-PM24_S78_L001_R1_001.fastq.gz	biological	mites	mites	Yellow B	Female	ASY	05/13/21	76	76	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF24	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix056-PF24_S79/Alix056-PF24_S79_L001_R1_001.fastq.gz	biological	feather	feather	Yellow B	Female	ASY	05/13/21	76	na	Amerodectes and Proctophyllodes	na
PM25	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix057-PM25_S80/Alix057-PM25_S80_L001_R1_001.fastq.gz	biological	mites	mites	Tony	Male	SY	05/14/21	267	267	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF25	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix058-PF25_S81/Alix058-PF25_S81_L001_R1_001.fastq.gz	biological	feather	feather	Tony	Male	SY	05/14/21	267	na	Amerodectes and Proctophyllodes	na
WASH25	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix059-WASH25_S82/Alix059-WASH25_S82_L001_R1_001.fastq.gz	control	control	wash_control	wash_control	na	na	na	na	na	na	na
AKC03	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix060-AKC03_S83/Alix060-AKC03_S83_L001_R1_001.fastq.gz	control	control	area_control	area_control	na	na	na	na	na	na	na
KITB01	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix061-KITB01_S84/Alix061-KITB01_S84_L001_R1_001.fastq.gz	control	control	kit_control	kit_control	na	na	na	na	na	na	na
PM26	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix062-PM26_S85/Alix062-PM26_S85_L001_R1_001.fastq.gz	biological	mites	mites	Tyus	Male	SY	05/14/21	90	90	Amerodectes and Proctophyllodes	Amerodectes and Proctophyllodes
PF26	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix063-PF26_S86/Alix063-PF26_S86_L001_R1_001.fastq.gz	biological	feather	feather	Tyus	Male	SY	05/14/21	90	na	Amerodectes and Proctophyllodes	na
PM27	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix064-PM27_S87/Alix064-PM27_S87_L001_R1_001.fastq.gz	biological	mites	mites	Grayson	Male	SY	05/14/21	7	7	Proctophyllodes	Proctophyllodes
PF27	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix065-PF27_S88/Alix065-PF27_S88_L001_R1_001.fastq.gz	biological	feather	feather	Grayson	Male	SY	05/14/21	7	na	Proctophyllodes	na
PM28	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix066-PM28_S89/Alix066-PM28_S89_L001_R1_001.fastq.gz	biological	mites	mites	Matt Foley	Male	SY	05/14/21	12	12	Amerodectes	Amerodectes
PF28	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix067-PF28_S90/Alix067-PF28_S90_L001_R1_001.fastq.gz	biological	feather	feather	Matt Foley	Male	SY	05/14/21	12	na	Amerodectes	na
PM29	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix068-PM29_S91/Alix068-PM29_S91_L001_R1_001.fastq.gz	biological	mites	mites	Kayce	Female	ASY	05/13/21	1	1	Proctophyllodes	Proctophyllodes
PF29	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix069-PF29_S92/Alix069-PF29_S92_L001_R1_001.fastq.gz	biological	feather	feather	Kayce	Female	ASY	05/13/21	1	na	Proctophyllodes	na
PM30	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix070-PM30_S93/Alix070-PM30_S93_L001_R1_001.fastq.gz	biological	mites	mites	Trisha	Female	SY	05/14/21	135	135	Amerodectes	Amerodectes
PF30	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix071-PF30_S94/Alix071-PF30_S94_L001_R1_001.fastq.gz	biological	feather	feather	Trisha	Female	SY	05/14/21	135	na	Amerodectes	na
KITB02	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix072-KITB02_S95/Alix072-KITB02_S95_L001_R1_001.fastq.gz	control	control	kit_control	kit_control	na	na	na	na	na	na	na
AKC04	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix073-AKC04_S96/Alix073-AKC04_S96_L001_R1_001.fastq.gz	control	control	area_control	area_control	na	na	na	na	na	na	na
WASH26	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix074-WASH26_S97/Alix074-WASH26_S97_L001_R1_001.fastq.gz	control	control	wash_control	wash_control	na	na	na	na	na	na	na
PCR1Blank1	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix075-PCR1Blank1_S98/Alix075-PCR1Blank1_S98_L001_R1_001.fastq.gz	control	control	pcr_control	pcr_control	na	na	na	na	na	na	na
PCR1Blank2	/scrfs/storage/amatthews/20220621_ITS/raw_data/Alix076-PCR1Blank2_S99/Alix076-PCR1Blank2_S99_L001_R1_001.fastq.gz	control	control	pcr_control	pcr_control	na	na	na	na	na	na	na

