,"ASV","mean.vs","sd.vs","n.vs","se.vs","lower.ci.vs","upper.ci.vs","electivity_category"
"167","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__Sympoventuriaceae.g__Ochroconis",-1,0,20,0,-1,-1,"against"
"168","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__Sympoventuriaceae.g__Pseudosigmoidea",-1,"NA",20,"NA","NA","NA","against"
"169","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__Sympoventuriaceae.g__Scolecobasidium",-1,0,20,0,-1,-1,"against"
"170","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__Venturiaceae.g__Sympodiella",-1,"NA",20,"NA","NA","NA","against"
"171","k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__Venturiaceae.g__Venturia",-1,"NA",20,"NA","NA","NA","against"
"172","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Chaetothyriaceae.g__Ceramothyrium",-1,0,20,0,-1,-1,"against"
"173","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Chaetothyriales_fam_Incertae_sedis.g__Neophaeococcomyces",-1,"NA",20,"NA","NA","NA","against"
"174","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Chaetothyriales_fam_Incertae_sedis.g__Sarcinomyces",-1,0,20,0,-1,-1,"against"
"175","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Cyphellophoraceae.g__Cyphellophora",-0.807473513992202,0.608822205693179,20,0.136136783814131,-1.09241107720496,-0.522535950779442,"against"
"176","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Capronia",-1,0,20,0,-1,-1,"against"
"177","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Cladophialophora",-1,0,20,0,-1,-1,"against"
"178","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Exophiala",-1,0,20,0,-1,-1,"against"
"179","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Fonsecaea",-1,"NA",20,"NA","NA","NA","against"
"180","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Neocladophialophora",-1,0,20,0,-1,-1,"against"
"181","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Phialophora",-1,0,20,0,-1,-1,"against"
"182","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Rhinocladiella",-0.781844308657475,0.532752619939607,20,0.119127107337607,-1.03118020984717,-0.532508407467783,"against"
"183","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Veronaea",-1,0,20,0,-1,-1,"against"
"184","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Strelitzianaceae.g__Strelitziana",-1,0,20,0,-1,-1,"against"
"185","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Trichomeriaceae.g__Alatosessilispora",-1,"NA",20,"NA","NA","NA","against"
"186","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Trichomeriaceae.g__Bacillicladium",-1,"NA",20,"NA","NA","NA","against"
"187","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Trichomeriaceae.g__Brycekendrickomyces",-1,"NA",20,"NA","NA","NA","against"
"188","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Trichomeriaceae.g__Knufia",-1,"NA",20,"NA","NA","NA","against"
"189","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Trichomeriaceae.g__Trichomerium",-0.907997117423429,0.411449399134287,20,0.092002882576571,-1.10056136373109,-0.715432871115763,"against"
"190","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Coryneliales.f__Coryneliaceae.g__Hypsotheca",-1,"NA",20,"NA","NA","NA","against"
"191","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus",-1,0,20,0,-1,-1,"against"
"192","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Paecilomyces","NA","NA",20,"NA","NA","NA","against"
"193","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium",-0.440021764512765,0.956527518363567,20,0.213886055341011,-0.887690423244008,0.007646894218479,"neutral"
"194","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Talaromyces",-1,"NA",20,"NA","NA","NA","against"
"195","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Mycocaliciales.f__Mycocaliciaceae.g__Chaenothecopsis",-1,0,20,0,-1,-1,"against"
"196","k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Phaeomoniellales.f__Phaeomoniellaceae.g__Neophaeomoniella",-1,"NA",20,"NA","NA","NA","against"
"197","k__Fungi.p__Ascomycota.c__Laboulbeniomycetes.o__Pyxidiophorales.f__Pyxidiophoraceae.g__Pyxidiophora",-1,"NA",20,"NA","NA","NA","against"
"198","k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__Acarosporales.f__Acarosporaceae.g__Neoacrodontiella",-1,"NA",20,"NA","NA","NA","against"
"199","k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__Caliciales.f__Physciaceae.g__Hyperphyscia",-1,"NA",20,"NA","NA","NA","against"
"200","k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__Caliciales.f__Physciaceae.g__Phaeophyscia",-1,"NA",20,"NA","NA","NA","against"
"201","k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__Lecanorales.f__Parmeliaceae.g__Parmotrema","NA","NA",20,"NA","NA","NA","against"
"202","k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__Lecanorales.f__Ramalinaceae.g__Bacidia",-1,"NA",20,"NA","NA","NA","against"
"203","k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__Lecanorales.f__Ramalinaceae.g__Bacidina",-1,"NA",20,"NA","NA","NA","against"
"204","k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__Lecanorales.f__Ramalinaceae.g__Ramalina",-1,"NA",20,"NA","NA","NA","against"
"205","k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__Ostropales.f__Gomphillaceae.g__Corticifraga",-1,0,20,0,-1,-1,"against"
"206","k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__Ostropales.f__Stictidaceae.g__Fitzroyomyces",-1,0,20,0,-1,-1,"against"
"207","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Erysiphales.f__Erysiphaceae.g__Erysiphe",-1,0,20,0,-1,-1,"against"
"208","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Erysiphales.f__Erysiphaceae.g__Phyllactinia",-1,"NA",20,"NA","NA","NA","against"
"209","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Erysiphales.f__Erysiphaceae.g__Podosphaera",-1,"NA",20,"NA","NA","NA","against"
"210","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Erysiphales.f__Erysiphaceae.g__Sawadaea","NA","NA",20,"NA","NA","NA","against"
"211","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Bloxamiaceae.g__Bloxamia",-1,0,20,0,-1,-1,"against"
"212","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Cenangiaceae.g__Chlorencoelia",-1,0,20,0,-1,-1,"against"
"213","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Dermateaceae.g__Neofabraea",-1,"NA",20,"NA","NA","NA","against"
"214","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Dermateaceae.g__Pezicula",-1,"NA",20,"NA","NA","NA","against"
"215","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Dermateaceae.g__Pyrenopeziza","NA","NA",20,"NA","NA","NA","against"
"216","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Discinellaceae.g__Gyoerffyella",-1,0,20,0,-1,-1,"against"
"217","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Hamatocanthoscyphaceae.g__Xenopolyscytalum",-1,"NA",20,"NA","NA","NA","against"
"218","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiaceae.g__Articulospora",-1,"NA",20,"NA","NA","NA","against"
"219","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiaceae.g__Filosporella",-1,0,20,0,-1,-1,"against"
"220","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiaceae.g__Helotium",-1,"NA",20,"NA","NA","NA","against"
"221","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiaceae.g__Scytalidium","NA","NA",20,"NA","NA","NA","against"
"222","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiaceae.g__Tetracladium",-1,"NA",20,"NA","NA","NA","against"
"223","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Cryptocline",-1,0,20,0,-1,-1,"against"
"224","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Hyaloscyphaceae.g__Arachnopeziza",-1,"NA",20,"NA","NA","NA","against"
"225","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Hyaloscyphaceae.g__Calycina",-1,0,20,0,-1,-1,"against"
"226","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Hyaloscyphaceae.g__Clathrosphaerina",-1,"NA",20,"NA","NA","NA","against"
"227","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Hyaloscyphaceae.g__Hamatocanthoscypha",-1,"NA",20,"NA","NA","NA","against"
"228","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Hyaloscyphaceae.g__Hyalopeziza",-1,"NA",20,"NA","NA","NA","against"
"229","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Hyaloscyphaceae.g__Lachnellula",-1,"NA",20,"NA","NA","NA","against"
"230","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Hyaloscyphaceae.g__Lachnum",-1,0,20,0,-1,-1,"against"
"231","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Hyaloscyphaceae.g__Microscypha",-1,"NA",20,"NA","NA","NA","against"
"232","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Lachnaceae.g__Proliferodiscus",-1,"NA",20,"NA","NA","NA","against"
"233","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Leotiaceae.g__Alatospora",-1,0,20,0,-1,-1,"against"
"234","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Loramycetaceae.g__Neomollisia",-1,"NA",20,"NA","NA","NA","against"
"235","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Loramycetaceae.g__Pulvinata",-1,"NA",20,"NA","NA","NA","against"
"236","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Mollisiaceae.g__Mollisia",-1,0,20,0,-1,-1,"against"
"237","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Mollisiaceae.g__Phialocephala",-1,0,20,0,-1,-1,"against"
"238","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Pezizellaceae.g__Rubropezicula",-1,"NA",20,"NA","NA","NA","against"
"239","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Ploettnerulaceae.g__Cadophora",-1,0,20,0,-1,-1,"against"
"240","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Porodiplodiaceae.g__Porodiplodia",-1,0,20,0,-1,-1,"against"
"241","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Rutstroemiaceae.g__Rutstroemia",-1,"NA",20,"NA","NA","NA","against"
"242","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Sclerotiniaceae.g__Cristulariella",-1,"NA",20,"NA","NA","NA","against"
"243","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Sclerotiniaceae.g__Sclerotinia",-1,0,20,0,-1,-1,"against"
"244","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Tricladiaceae.g__Tricladium",-1,0,20,0,-1,-1,"against"
"245","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Tympanidaceae.g__Tympanis",-1,"NA",20,"NA","NA","NA","against"
"246","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Vibrisseaceae.g__Vibrissea",-1,0,20,0,-1,-1,"against"
"247","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Lauriomycetales.f__Lauriomycetaceae.g__Lauriomyces","NA","NA",20,"NA","NA","NA","against"
"248","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Phacidiales.f__Phacidiaceae.g__Gloeopycnis",-1,"NA",20,"NA","NA","NA","against"
"249","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Rhytismatales.f__Rhytismataceae.g__Colpoma",-1,0,20,0,-1,-1,"against"
"250","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Rhytismatales.f__Rhytismataceae.g__Lophodermium",-1,0,20,0,-1,-1,"against"
"251","k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Thelebolales.f__Pseudeurotiaceae.g__Pseudogymnoascus",-1,"NA",20,"NA","NA","NA","against"
